3037 4788
0	5625	2473
1	4505	4098
2	9866	2148
3	8315	7088
4	8564	5989
5	2064	510
6	2942	2145
7	2646	9895
8	5051	3220
9	6715	6729
10	5375	17
11	1500	3826
12	718	3640
13	7870	9475
14	2834	1667
15	345	2908
16	708	1805
17	8662	2137
18	989	2807
19	6537	6490
20	1659	4642
21	4255	2709
22	2260	9074
23	5081	8712
24	2482	2591
25	3725	856
26	1446	2942
27	8953	2328
28	1151	5422
29	3447	9832
30	8641	6823
31	5392	8310
32	4834	6363
33	7805	6943
34	4078	4017
35	9968	486
36	9167	7765
37	1801	4676
38	6234	3856
39	6717	8096
40	6770	7733
41	984	9648
42	152	4546
43	2371	5729
44	2993	5588
45	8299	6581
46	6439	762
47	3192	6168
48	830	9908
49	540	7056
50	4979	3144
51	6609	6272
52	8085	2379
53	5304	1552
54	3535	785
55	8172	2898
56	1778	6795
57	6908	2048
58	4673	2268
59	2138	8447
60	5736	9544
61	3128	948
62	6245	94
63	1192	3651
64	7660	9475
65	8095	544
66	7759	3110
67	8921	416
68	4208	566
69	7950	8667
70	3163	1187
71	4259	4660
72	3077	8599
73	3790	6360
74	4055	3036
75	5402	1227
76	6463	4776
77	6622	7451
78	6738	152
79	4501	1290
80	1223	4101
81	3487	8042
82	7956	120
83	1980	6096
84	6371	4963
85	5095	3134
86	1789	391
87	881	2652
88	6969	6415
89	8535	3832
90	8496	743
91	9173	9409
92	7779	7901
93	1438	3109
94	4116	2522
95	3662	1116
96	5419	1518
97	7178	4024
98	2125	160
99	9502	829
100	7261	5998
101	9304	3058
102	3910	6081
103	5936	7011
104	3731	6360
105	2875	8232
106	7264	2407
107	3173	8642
108	3082	7255
109	3030	2964
110	8333	2377
111	9311	4795
112	1542	8378
113	3042	5515
114	8414	3286
115	8015	6604
116	6433	9238
117	1105	7508
118	9796	87
119	3284	6144
120	5491	5291
121	7272	402
122	9292	9688
123	3486	7134
124	1109	7872
125	2118	7742
126	8574	7941
127	7762	4147
128	1606	5876
129	9896	9631
130	3127	5865
131	4781	9513
132	9380	6682
133	9810	856
134	8914	9375
135	3487	3391
136	2940	9215
137	3725	4492
138	2064	9171
139	6526	8038
140	9884	8117
141	2896	9805
142	2838	7373
143	9492	22
144	3925	9827
145	8842	2543
146	9963	4421
147	8856	6897
148	1959	3305
149	8858	7658
150	9921	2468
151	8615	3957
152	6813	861
153	9596	1687
154	7894	1942
155	451	2670
156	3228	2364
157	1764	8613
158	871	3745
159	4511	3061
160	4150	550
161	5849	3562
162	2441	7634
163	7791	4874
164	5061	4555
165	9565	3741
166	3857	7041
167	907	3306
168	7708	9575
169	899	7176
170	1782	9054
171	8476	4419
172	2918	2996
173	997	8216
174	3584	3056
175	922	8250
176	2171	464
177	5808	9959
178	1229	3816
179	3292	9892
180	3421	4216
181	9077	6846
182	3842	2540
183	3813	4753
184	3845	6769
185	684	1998
186	4162	3603
187	354	4297
188	8760	7795
189	1624	1917
190	6115	5636
191	8301	8587
192	223	8728
193	2906	7785
194	4423	8866
195	7801	9708
196	1577	4890
197	9863	9056
198	730	3735
199	4245	6958
200	5268	9090
201	9503	1791
202	8786	6776
203	6953	1547
204	9909	2689
205	3734	7817
206	4672	6580
207	2011	2466
208	2373	6961
209	5060	9075
210	8343	6863
211	588	6067
212	7154	2819
213	7608	5628
214	3127	746
215	7752	6076
216	7607	1581
217	8313	3206
218	4601	2732
219	4986	9198
220	9439	9569
221	3219	48
222	2840	761
223	1835	368
224	4391	8115
225	6675	3191
226	8066	5765
227	2801	4064
228	4385	2087
229	3181	3616
230	4822	7539
231	6589	1983
232	3493	1355
233	8836	9298
234	4776	6567
235	901	6829
236	4563	1198
237	2301	6265
238	584	6897
239	3028	7421
240	1876	5507
241	9943	5724
242	3498	6512
243	8323	1870
244	4474	8382
245	2830	3455
246	1707	3826
247	2099	3705
248	4840	7258
249	6932	6295
250	1051	2773
251	5162	3213
252	5494	9275
253	5473	9233
254	306	8261
255	8266	6783
256	6267	689
257	3306	21
258	6883	7609
259	5809	6467
260	4630	2982
261	9675	5764
262	828	8872
263	6919	3702
264	1189	2043
